timestamp,ticker,direction,confidence_pct,last_close,votes
2026-06-11 18:00:03,SPY,NEUTRAL,0.0,737.76,Price $737.76 above MA50 $721.07 and MA200 $683.56: bullish structure | RSI 50.3: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-12 18:00:01,SPY,NEUTRAL,0.0,741.75,Price $741.75 above MA50 $722.8 and MA200 $684.07: bullish structure | RSI 53.0: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-15 18:00:04,SPY,NEUTRAL,0.0,754.83,Price $754.83 above MA50 $724.78 and MA200 $684.64: bullish structure | RSI 60.4: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-16 18:00:04,SPY,NEUTRAL,0.0,750.33,Price $750.33 above MA50 $726.61 and MA200 $685.18: bullish structure | RSI 57.1: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-16 20:58:24,SPY,NEUTRAL,0.0,750.33,Price $750.33 above MA50 $726.61 and MA200 $685.18: bullish structure | RSI 57.1: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-17 18:00:05,SPY,NEUTRAL,0.0,740.96,Price $740.96 above MA50 $728.24 and MA200 $685.68: bullish structure | RSI 50.8: bullish | MACD below signal: bearish | MACD histogram falling: bearish | VERDICT: NEUTRAL — bull_votes=1 bear_votes=2 did not meet MIN_VOTES=3
2026-06-17 19:31:05,SPY,NEUTRAL,0.0,740.96,Price $740.96 above MA50 $728.24 and MA200 $685.68: bullish structure | RSI 50.8: bullish | MACD below signal: bearish | MACD histogram falling: bearish | VERDICT: NEUTRAL — bull_votes=1 bear_votes=2 did not meet MIN_VOTES=3
2026-06-18 18:00:04,SPY,NEUTRAL,0.0,746.74,Price $746.74 above MA50 $729.66 and MA200 $686.24: bullish structure | RSI 54.1: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-19 18:00:04,SPY,NEUTRAL,0.0,746.74,Price $746.74 above MA50 $727.82 and MA200 $684.49: bullish structure | RSI 55.1: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-22 18:00:02,SPY,NEUTRAL,0.0,744.39,Price $744.39 above MA50 $729.15 and MA200 $685.03: bullish structure | RSI 53.6: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-23 18:00:04,SPY,DOWN,80,733.58,Price $733.58 above MA50 $730.26 and MA200 $685.48: bullish structure | RSI 46.9: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 65.2M neutral
2026-06-24 18:00:05,SPY,DOWN,70,733.24,Price $733.24 above MA50 $731.24 and MA200 $685.95: bullish structure | RSI 46.7: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 45.3M below avg: weakens signal
2026-06-25 18:00:04,SPY,DOWN,70,734.3,Price $734.3 above MA50 $732.07 and MA200 $686.41: bullish structure | RSI 47.5: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 47.3M below avg: weakens signal
2026-06-26 18:00:04,SPY,DOWN,90,728.99,MA50 $732.69 MA200 $686.84: mixed structure | RSI 44.2: bearish | MACD below signal: bearish | MACD histogram falling: bearish | Volume 69.2M neutral
2026-06-29 18:00:04,SPY,NEUTRAL,0.0,741.0,Price $741.0 above MA50 $733.51 and MA200 $687.32: bullish structure | RSI 52.3: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-06-30 18:00:04,SPY,NEUTRAL,0.0,746.77,Price $746.77 above MA50 $734.28 and MA200 $687.8: bullish structure | RSI 55.6: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-07-01 18:00:03,SPY,NEUTRAL,0.0,745.76,Price $745.76 above MA50 $735.06 and MA200 $688.28: bullish structure | RSI 54.9: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-07-02 18:00:04,SPY,NEUTRAL,0.0,744.78,Price $744.78 above MA50 $735.91 and MA200 $688.74: bullish structure | RSI 54.1: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-07-03 18:00:03,SPY,NEUTRAL,0.0,744.78,Price $744.78 above MA50 $735.91 and MA200 $688.74: bullish structure | RSI 54.1: bullish | MACD below signal: bearish | MACD histogram neutral: no vote | VERDICT: NEUTRAL — bull_votes=1 bear_votes=1 did not meet MIN_VOTES=3
2026-07-06 18:00:03,SPY,UP,80,751.28,Price $751.28 above MA50 $736.75 and MA200 $689.23: bullish structure | RSI 58.1: bullish | MACD above signal: bullish | MACD histogram growing: bullish | Volume 42.6M below avg: weakens signal
